Wavelength [nm],Transmission [dB]
350.000,-63.845
351.400,-73.915
352.800,-210.000
354.200,-210.000
355.600,-210.000
357.000,-210.000
358.400,-71.834
359.800,-210.000
361.200,-210.000
362.600,-210.000
364.000,-210.000
365.400,-65.062
366.800,-68.191
368.200,-210.000
369.600,-210.000
371.000,-210.000
372.400,-210.000
373.800,-210.000
375.200,-72.664
376.600,-210.000
378.000,-210.000
379.400,-210.000
380.800,-210.000
382.200,-70.674
383.600,-71.969
385.000,-73.824
386.400,-68.058
387.800,-76.530
389.200,-210.000
390.600,-210.000
392.000,-81.955
393.400,-210.000
394.800,-210.000
396.200,-210.000
397.600,-90.364
399.000,-68.871
400.400,-210.000
401.800,-210.000
403.200,-210.000
404.600,-210.000
406.000,-210.000
407.400,-71.576
408.800,-210.000
410.200,-210.000
411.600,-210.000
413.000,-210.000
414.400,-210.000
415.800,-75.022
417.200,-70.201
418.600,-74.737
420.000,-210.000
421.400,-210.000
422.800,-210.000
424.200,-210.000
425.600,-210.000
427.000,-210.000
428.400,-210.000
429.800,-210.000
431.200,-210.000
432.600,-210.000
434.000,-210.000
435.400,-210.000
436.800,-210.000
438.200,-210.000
439.600,-210.000
441.000,-210.000
442.400,-71.622
443.800,-72.151
445.200,-72.753
446.600,-74.229
448.000,-76.483
449.400,-72.833
450.800,-77.313
452.200,-210.000
453.600,-210.000
455.000,-210.000
456.400,-82.955
457.800,-75.708
459.200,-73.128
460.600,-72.563
462.000,-72.063
463.400,-210.000
464.800,-210.000
466.200,-85.795
467.600,-88.806
469.000,-210.000
470.400,-75.245
471.800,-73.671
473.200,-72.518
474.600,-79.747
476.000,-210.000
477.400,-72.618
478.800,-71.924
480.200,-71.326
481.600,-71.791
483.000,-72.313
484.400,-210.000
485.800,-78.272
487.200,-72.615
488.600,-72.645
490.000,-72.675
491.400,-69.351
492.800,-70.848
494.200,-73.153
495.600,-73.811
497.000,-74.586
498.400,-68.254
499.800,-69.155
501.200,-70.295
502.600,-69.333
504.000,-68.545
505.400,-70.371
506.800,-68.992
508.200,-67.947
509.600,-69.408
511.000,-71.626
512.400,-68.425
513.800,-67.557
515.200,-66.833
516.600,-66.803
518.000,-66.773
519.400,-65.192
520.800,-65.646
522.200,-66.153
523.600,-66.836
525.000,-67.647
526.400,-66.414
527.800,-66.051
529.200,-65.715
530.600,-66.040
532.000,-66.391
533.400,-67.677
534.800,-67.151
536.200,-66.683
537.600,-66.507
539.000,-66.337
540.400,-65.987
541.800,-66.446
543.200,-66.960
544.600,-66.115
546.000,-65.408
547.400,-65.109
548.800,-65.964
550.200,-67.030
551.600,-65.720
553.000,-64.715
554.400,-64.763
555.800,-65.178
557.200,-65.638
558.600,-65.060
560.000,-64.550
561.400,-65.305
562.800,-65.252
564.200,-65.199
565.600,-65.043
567.000,-64.891
568.400,-64.962
569.800,-64.719
571.200,-64.490
572.600,-64.387
574.000,-64.286
575.400,-64.696
576.800,-64.663
578.200,-64.631
579.600,-64.778
581.000,-64.931
582.400,-64.153
583.800,-64.045
585.200,-63.940
586.600,-63.872
588.000,-63.804
589.400,-63.076
590.800,-63.049
592.200,-63.022
593.600,-62.886
595.000,-62.754
596.400,-62.482
597.800,-62.748
599.200,-63.032
600.600,-61.877
602.000,-60.966
603.400,-61.046
604.800,-61.056
606.200,-61.065
607.600,-61.165
609.000,-61.266
610.400,-60.840
611.800,-60.779
613.200,-60.718
614.600,-60.880
616.000,-61.049
617.400,-61.353
618.800,-61.357
620.200,-61.362
621.600,-61.369
623.000,-61.376
624.400,-60.860
625.800,-60.961
627.200,-61.064
628.600,-60.757
630.000,-60.470
631.400,-60.576
632.800,-60.392
634.200,-60.215
635.600,-60.071
637.000,-59.932
638.400,-59.831
639.800,-59.816
641.200,-59.802
642.600,-59.954
644.000,-60.111
645.400,-60.245
646.800,-60.323
648.200,-60.403
649.600,-60.453
651.000,-60.505
652.400,-60.434
653.800,-60.635
655.200,-60.846
656.600,-61.055
658.000,-61.275
659.400,-61.060
660.800,-61.030
662.200,-61.000
663.600,-60.927
665.000,-60.855
666.400,-60.819
667.800,-60.425
669.200,-60.065
670.600,-59.939
672.000,-59.817
673.400,-60.189
674.800,-60.289
676.200,-60.391
677.600,-60.227
679.000,-60.069
680.400,-60.161
681.800,-60.579
683.200,-61.043
684.600,-60.987
686.000,-60.932
687.400,-60.566
688.800,-60.330
690.200,-60.106
691.600,-60.305
693.000,-60.514
694.400,-60.169
695.800,-59.539
697.200,-58.989
698.600,-59.090
700.000,-59.192
701.400,-59.225
702.800,-58.920
704.200,-58.635
705.600,-58.696
707.000,-58.758
