Wavelength [nm],Transmission [dB]
350.000,-65.716
351.400,-210.000
352.800,-210.000
354.200,-210.000
355.600,-210.000
357.000,-210.000
358.400,-210.000
359.800,-210.000
361.200,-73.436
362.600,-210.000
364.000,-210.000
365.400,-210.000
366.800,-210.000
368.200,-210.000
369.600,-210.000
371.000,-210.000
372.400,-210.000
373.800,-210.000
375.200,-210.000
376.600,-210.000
378.000,-73.474
379.400,-68.773
380.800,-69.345
382.200,-70.004
383.600,-88.001
385.000,-210.000
386.400,-69.915
387.800,-210.000
389.200,-210.000
390.600,-210.000
392.000,-210.000
393.400,-71.234
394.800,-70.956
396.200,-70.694
397.600,-69.933
399.000,-69.285
400.400,-69.355
401.800,-76.676
403.200,-210.000
404.600,-210.000
406.000,-210.000
407.400,-210.000
408.800,-210.000
410.200,-210.000
411.600,-210.000
413.000,-210.000
414.400,-80.315
415.800,-71.844
417.200,-69.154
418.600,-71.622
420.000,-77.915
421.400,-74.105
422.800,-73.349
424.200,-72.705
425.600,-71.471
427.000,-70.512
428.400,-210.000
429.800,-210.000
431.200,-210.000
432.600,-210.000
434.000,-71.506
435.400,-72.565
436.800,-82.828
438.200,-210.000
439.600,-210.000
441.000,-76.363
442.400,-85.935
443.800,-75.762
445.200,-72.965
446.600,-72.883
448.000,-72.803
449.400,-72.253
450.800,-76.770
452.200,-210.000
453.600,-81.157
455.000,-74.846
456.400,-75.965
457.800,-210.000
459.200,-210.000
460.600,-210.000
462.000,-74.105
463.400,-85.845
464.800,-88.856
466.200,-210.000
467.600,-72.968
469.000,-69.958
470.400,-74.454
471.800,-77.464
473.200,-210.000
474.600,-210.000
476.000,-210.000
477.400,-210.000
478.800,-210.000
480.200,-210.000
481.600,-210.000
483.000,-210.000
484.400,-210.000
485.800,-210.000
487.200,-85.625
488.600,-75.905
490.000,-73.133
491.400,-79.665
492.800,-75.924
494.200,-73.945
495.600,-73.675
497.000,-73.421
498.400,-73.694
499.800,-75.322
501.200,-77.954
502.600,-73.158
504.000,-70.934
505.400,-80.914
506.800,-74.197
508.200,-71.676
509.600,-71.315
511.000,-70.981
512.400,-68.027
513.800,-69.282
515.200,-71.054
516.600,-71.265
518.000,-71.486
519.400,-78.456
520.800,-75.631
522.200,-73.934
523.600,-75.170
525.000,-76.904
526.400,-67.932
527.800,-68.939
529.200,-70.254
530.600,-69.838
532.000,-69.458
533.400,-73.475
534.800,-72.200
536.200,-71.216
537.600,-69.195
539.000,-67.822
540.400,-70.976
541.800,-69.893
543.200,-69.028
544.600,-70.770
546.000,-73.724
547.400,-68.206
548.800,-69.763
550.200,-72.215
551.600,-77.086
553.000,-210.000
554.400,-69.815
555.800,-70.949
557.200,-72.488
558.600,-73.246
560.000,-74.166
561.400,-71.156
562.800,-68.048
564.200,-66.255
565.600,-66.217
567.000,-66.181
568.400,-67.547
569.800,-67.222
571.200,-66.920
572.600,-68.481
574.000,-70.942
575.400,-70.952
576.800,-71.468
578.200,-72.053
579.600,-74.482
581.000,-80.494
582.400,-74.434
583.800,-72.383
585.200,-70.996
586.600,-71.692
588.000,-72.523
589.400,-70.886
590.800,-73.410
592.200,-80.154
593.600,-76.372
595.000,-74.382
596.400,-78.715
597.800,-78.654
599.200,-78.595
600.600,-70.260
602.000,-67.580
603.400,-65.983
604.800,-66.546
606.200,-67.192
607.600,-66.899
609.000,-66.624
610.400,-67.335
611.800,-67.131
613.200,-66.937
614.600,-65.906
616.000,-65.074
617.400,-67.094
618.800,-66.530
620.200,-66.031
621.600,-66.279
623.000,-66.542
624.400,-66.227
625.800,-66.986
627.200,-67.906
628.600,-68.340
630.000,-68.823
631.400,-69.252
632.800,-69.220
634.200,-69.188
635.600,-69.058
637.000,-68.932
638.400,-68.678
639.800,-68.417
641.200,-68.170
642.600,-68.665
644.000,-69.223
645.400,-67.757
646.800,-67.358
648.200,-66.992
649.600,-66.983
651.000,-66.974
652.400,-67.027
653.800,-66.328
655.200,-65.726
656.600,-65.913
658.000,-66.109
659.400,-65.756
660.800,-65.662
662.200,-65.569
663.600,-65.694
665.000,-65.822
666.400,-65.111
667.800,-65.134
669.200,-65.157
670.600,-65.490
672.000,-65.851
673.400,-66.186
674.800,-65.923
676.200,-65.674
677.600,-65.794
679.000,-65.916
680.400,-66.373
681.800,-66.271
683.200,-66.171
684.600,-65.865
686.000,-65.578
687.400,-66.531
688.800,-65.422
690.200,-64.540
691.600,-64.298
693.000,-64.068
694.400,-64.310
695.800,-64.027
697.200,-63.760
698.600,-63.534
700.000,-63.318
701.400,-64.302
702.800,-64.234
704.200,-64.167
705.600,-64.085
707.000,-64.004
708.400,-64.103
709.800,-64.778
711.200,-65.577
712.600,-65.777
714.000,-65.986
715.400,-65.955
716.800,-66.953
718.200,-68.252
719.600,-68.154
721.000,-68.057
722.400,-67.071
723.800,-67.806
725.200,-68.691
726.600,-67.629
728.000,-66.777
729.400,-66.665
730.800,-65.953
732.200,-65.342
733.600,-65.189
735.000,-65.041
736.400,-65.764
737.800,-65.749
739.200,-65.734
740.600,-65.808
742.000,-65.883
743.400,-66.465
744.800,-67.225
746.200,-68.147
747.600,-67.956
749.000,-67.773
750.400,-68.869
751.800,-68.724
753.200,-68.584
754.600,-67.797
756.000,-67.132
757.400,-67.357
758.800,-67.052
760.200,-66.766
761.600,-66.724
763.000,-66.681
764.400,-65.665
765.800,-65.295
767.200,-64.953
768.600,-65.227
770.000,-65.519
771.400,-65.673
772.800,-65.061
774.200,-64.524
775.600,-64.242
777.000,-63.977
778.400,-64.614
779.800,-64.643
781.200,-64.673
782.600,-63.635
784.000,-62.797
785.400,-62.919
786.800,-63.512
788.200,-64.199
789.600,-64.387
791.000,-64.583
792.400,-63.878
793.800,-63.856
795.200,-63.833
796.600,-64.655
798.000,-65.671
799.400,-65.771
800.800,-64.925
802.200,-64.217
803.600,-63.835
805.000,-63.484
806.400,-64.301
807.800,-65.264
809.200,-66.504
810.600,-65.167
812.000,-64.146
813.400,-64.193
814.800,-65.258
816.200,-66.672
817.600,-67.686
819.000,-69.010
820.400,-69.172
821.800,-69.341
823.200,-68.643
824.600,-69.061
826.000,-69.525
827.400,-70.331
828.800,-71.322
830.200,-73.634
831.600,-71.601
833.000,-70.222
834.400,-70.604
835.800,-71.022
837.200,-68.232
838.600,-68.694
840.000,-69.212
841.400,-69.049
842.800,-68.891
844.200,-68.056
845.600,-66.784
847.000,-65.801
848.400,-66.090
849.800,-66.400
851.200,-66.360
852.600,-66.676
854.000,-67.016
855.400,-66.287
856.800,-65.663
858.200,-65.501
859.600,-65.809
861.000,-66.141
862.400,-66.506
863.800,-66.906
865.200,-67.102
866.600,-65.976
868.000,-65.083
869.400,-64.611
870.800,-64.186
872.200,-64.336
873.600,-64.739
875.000,-65.183
876.400,-65.226
877.800,-65.269
